Event_Id,Section,Quantity,Price,Row,Availability
162,998,1,42,GA,
162,406,2,46,3,
162,998,12,50,GA1,
162,436,2,59,6,
162,524,2,62,2,
162,406,2,62,8,
162,403,3,63,10,
162,223,1,63,17,
162,239,2,67,7,
162,240,2,67,14,
162,236,2,68,11,
162,242,2,68,4,
162,208,2,70,14,
162,300,2,76,GA,
162,300,2,77,GA,
162,140,2,76,7,
162,226,2,79,16,
162,139,2,89,12,
162,219,4,90,14,
162,105,2,92,13,
162,105,2,97,8,
162,235,4,97,11,
162,133,1,97,8,
162,211,2,125,5,
162,300,2,125,GA1,
162,117,3,183,13,
162,220,2,877,14,
164,997,12,17,1,
164,510,3,19,9,
164,512,1,20,8,
164,510,2,22,7,
164,510,2,22,10,
164,542,3,23,7,
164,518,3,23,7,
164,544,2,23,10,
164,530,4,24,12,
164,508,6,25,6,
164,997,4,25,G00,
164,997,8,27,PASS..,
164,516,4,26,2,
164,544,3,26,11,
164,533,4,27,8,
164,527,4,27,3,
164,507,2,27,2,
164,557,6,29,5,
164,565,8,28,11,
164,552,7,29,1,
164,537,2,29,4,
164,534,4,29,7,
164,533,4,29,9,
164,518,4,31,8,
164,510,8,30,8,
164,527,2,30,5,
164,558,2,30,1,
164,554,8,30,3,
164,528,3,30,2,
164,533,4,30,8,
164,518,6,31,7,
164,506,5,31,4,
164,537,4,31,2,
164,518,11,34,12,
164,557,4,32,1,
164,544,10,32,3,
164,524,4,32,7,
164,535,4,32,7,
164,565,8,34,10,
164,530,6,34,8,
164,520,3,35,5,
164,550,2,35,6,
164,107,4,35,16,
164,557,4,37,1,
164,102,2,36,8,
164,109,2,36,14,
164,159,4,36,13,
164,540,8,36,8,
164,552,4,38,1,
164,508,6,36,16,
164,510,8,36,2,
164,506,10,36,14,
164,506,10,36,13,
164,506,10,37,12,
164,526,10,37,5,
164,530,4,37,7,
164,110,3,37,6,
164,508,18,38,15,
164,516,4,38,1,
164,522,7,38,15,
164,544,4,39,14,
164,544,4,39,14,
164,546,22,39,12,
164,507,18,39,13,
164,507,18,39,14,
164,508,10,39,11,
164,552,15,40,4,
164,528,6,40,9,
164,147,2,40,18,
164,110,5,40,15,
164,522,3,40,14,
164,534,5,41,3,
164,163,2,41,7,
164,161,3,41,26,
164,161,4,41,26,
164,103,4,42,16,
164,552,11,42,3,
164,546,20,42,11,
164,514,14,42,7,
164,110,7,43,18,
164,150,8,43,34,
164,507,8,43,12,
164,528,3,45,1,
164,508,18,43,13,
164,508,18,43,14,
164,534,6,44,9,
164,103,4,44,7,
164,524,22,44,8,
164,158,6,45,11,
164,158,6,45,13,
164,115,2,45,19,
164,161,2,45,4,
164,537,6,47,10,
164,509,8,47,12,
164,537,8,47,4,
164,161,5,47,6,
164,163,3,46,14,
164,107,9,48,14,
164,162,2,48,3,
164,162,2,48,3,
164,507,6,48,5,
164,557,8,48,6,
164,544,4,48,13,
164,548,4,48,8,
164,544,12,48,12,
164,544,4,48,13,
164,154,3,49,17,
164,508,10,49,10,
164,527,6,49,5,
164,150,8,49,33,
164,160,2,49,5,
164,556,2,49,6,
164,565,8,49,17,
164,508,6,49,17,
164,507,8,49,7,
164,509,4,49,7,
164,557,8,49,13,
164,556,8,49,13,
164,565,6,49,8,
164,506,4,49,10,
164,558,4,49,12,
164,537,2,53,1,
164,107,6,51,10,
164,557,4,52,9,
164,116,6,50,35,
164,102,4,50,3,
164,558,2,51,3,
164,146,2,50,15,
164,163,5,51,3,
164,527,4,53,1,
164,506,2,52,3,
164,552,8,52,9,
164,520,6,52,21,
164,520,4,52,18,
164,548,2,52,12,
164,516,8,52,15,
164,550,8,52,13,
164,536,5,51,6,
164,544,4,52,14,
164,544,6,52,20,
164,554,4,52,4,
164,518,8,52,14,
164,554,8,52,7,
164,546,8,52,13,
164,510,6,52,11,
164,512,8,52,12,
164,510,8,52,12,
164,548,8,52,13,
164,514,2,52,21,
164,516,4,52,13,
164,552,2,52,7,
164,552,6,52,8,
164,550,6,52,12,
164,159,4,55,9,
164,152,4,51,6,
164,114,8,51,21,
164,118,2,52,12,
164,509,3,53,14,
164,544,2,52,11,
164,565,8,53,16,
164,506,3,53,7,
164,509,5,53,14,
164,508,3,53,8,
164,507,8,53,15,
164,544,8,52,11,
164,544,4,52,12,
164,544,4,52,10,
164,103,4,53,2,
164,117,2,53,11,
164,158,2,53,9,
164,536,10,53,4,
164,158,10,53,14,
164,516,2,54,3,
164,528,7,53,5,
164,531,18,53,17,
164,535,1,55,1,
164,530,18,53,16,
164,533,11,53,18,
164,118,4,54,19,
164,101,11,54,2,
164,548,3,55,7,
164,506,9,54,15,
164,509,5,54,13,
164,565,4,54,10,
164,565,4,54,10,
164,565,18,54,14,
164,565,16,54,15,
164,565,4,54,9,
164,556,5,54,12,
164,556,18,54,15,
164,557,18,54,15,
164,509,2,54,15,
164,512,8,55,13,
164,550,5,55,10,
164,103,4,55,3,
164,152,4,55,6,
164,154,8,55,14,
164,546,3,56,4,
164,554,8,56,10,
164,552,8,56,10,
164,544,3,56,7,
164,550,3,56,7,
164,520,5,56,15,
164,518,2,56,4,
164,510,7,55,1,
164,516,2,56,2,
164,159,4,58,8,
164,542,2,54,2,
164,106,4,56,9,
164,152,8,55,4,
164,152,4,55,5,
164,535,10,56,3,
164,155,11,56,16,
164,103,5,56,3,
164,159,8,57,13,
164,544,8,57,6,
164,544,6,57,7,
164,548,8,61,9,
164,527,6,54,3,
164,163,4,56,25,
164,509,6,59,9,
164,103,4,58,5,
164,509,2,59,9,
164,565,2,59,7,
164,117,3,59,12,
164,155,11,60,17,
164,531,8,61,20,
164,528,6,61,12,
164,161,21,59,27,
164,530,8,61,18,
164,522,4,61,8,
164,527,8,61,13,
164,112,8,60,17,
164,526,4,57,2,
164,159,3,61,2,
164,110,2,63,12,
164,101,4,62,3,
164,114,8,62,14,
164,162,2,63,3,
164,156,2,62,11,
164,159,6,67,5,
164,538,2,65,8,
164,526,4,65,15,
164,526,2,65,10,
164,522,6,65,13,
164,540,2,65,7,
164,528,8,65,18,
164,537,6,63,1,
164,524,8,65,18,
164,533,6,65,19,
164,534,8,65,21,
164,534,6,65,20,
164,527,8,65,14,
164,526,8,65,18,
164,524,2,65,12,
164,530,8,65,21,
164,522,8,65,20,
164,153,6,63,3,
164,542,2,66,4,
